"gid";"id_grid";"dir";"coor";"x";"y"
1;288;"A 5A O 48A O 27";"3.465096702027,-76.590017004132";-76.590017004132;3.465096702027
2;288;"A 5A O 48B O 10";"3.465252700677,-76.589881228879";-76.589881228879;3.465252700677
3;288;"C 50 O 5A O 04";"3.465408668535,-76.590010835506";-76.590010835506;3.465408668535
4;288;"C 50 O 5A O 21  1";"3.465816280578,-76.590345604137";-76.590345604137;3.465816280578
5;288;"A 5A O 50 O 10";"3.465764598865,-76.590371412334";-76.590371412334;3.465764598865
6;288;"A 5A O 50 O 09 0200";"3.465221515572,-76.59011205753";-76.59011205753;3.465221515572
7;288;"A 5A O 50 O 04 0200";"3.46556959805,-76.590209619111";-76.590209619111;3.46556959805
8;288;"C 50 O 5A O 16";"3.465638382255,-76.590060246009";-76.590060246009;3.465638382255
9;288;"A 5A O 50 O 04";"3.465608227842,-76.590321118989";-76.590321118989;3.465608227842
10;288;"A 5A O 50 O 09";"3.465221515572,-76.59011205753";-76.59011205753;3.465221515572
11;288;"C 50 O 5A O 10  1";"3.465540549018,-76.590028482079";-76.590028482079;3.465540549018
12;288;"C 50 O 5A O 22  1";"3.46573331646,-76.590089584681";-76.590089584681;3.46573331646
13;288;"C 50 O 5A O 15";"3.465720322202,-76.590255023481";-76.590255023481;3.465720322202
14;288;"A 5A O 48B O 04";"3.465107852819,-76.589805259115";-76.589805259115;3.465107852819
15;288;"C 49 O 5A O 15";"3.465532882939,-76.589909464435";-76.589909464435;3.465532882939
16;288;"C 49 O 5A O 06";"3.465334918129,-76.589798898019";-76.589798898019;3.465334918129
17;288;"A 5A O 50 O 19";"3.46533938605,-76.590212787936";-76.590212787936;3.46533938605
18;288;"A 5A O 48A O 29";"3.465096702027,-76.590017004132";-76.590017004132;3.465096702027
19;288;"A 5A O 48A O 23";"3.465000338311,-76.589966802212";-76.589966802212;3.465000338311
20;289;"C 50 O 5D O 27 01";"3.466357681722,-76.589976836671";-76.589976836671;3.466357681722
21;289;"C 50 O 5A O 39";"3.465966153834,-76.590415104318";-76.590415104318;3.465966153834
22;289;"C 50 O 5A O 63";"3.466070058574,-76.59026874614";-76.59026874614;3.466070058574
23;289;"C 50 O 5A O 57";"3.466003835423,-76.590222884165";-76.590222884165;3.466003835423
24;289;"A 5D O 50 O 04";"3.466007723123,-76.589940672278";-76.589940672278;3.466007723123
25;289;"A 5D O 50 O 15";"3.466175721394,-76.590196599621";-76.590196599621;3.466175721394
26;289;"A 5E O 50 O 11";"3.466360296632,-76.58992261771";-76.58992261771;3.466360296632
27;289;"C 50 O 5D O 03";"3.466311630184,-76.590132900388";-76.590132900388;3.466311630184
